kecamatan,week,komoditas,luas_lahan_ha,ndvi_sentinel2,curah_hujan_bmkg_mm,suhu_permukaan_lst_c,drought_risk_score,status_risiko,potensi_kehilangan_panen_pct,kehilangan_produksi_ton,potensi_kerugian_juta_rp
Kecamatan Karanganyar (Demak),1,Padi Sawah,250,0.614,58.0,29.2,0.176,RENDAH (HIJAU),3.2,48.0,312.0
Kecamatan Karanganyar (Demak),2,Padi Sawah,250,0.6,41.1,29.1,0.281,RENDAH (HIJAU),5.1,76.5,497.25
Kecamatan Karanganyar (Demak),3,Padi Sawah,250,0.539,48.3,30.0,0.294,RENDAH (HIJAU),5.3,79.5,516.75
Kecamatan Karanganyar (Demak),4,Padi Sawah,250,0.55,30.5,30.8,0.409,RENDAH (HIJAU),7.4,111.0,721.5
Kecamatan Karanganyar (Demak),5,Padi Sawah,250,0.53,29.4,30.4,0.418,RENDAH (HIJAU),7.5,112.5,731.25
Kecamatan Karanganyar (Demak),6,Padi Sawah,250,0.463,26.7,31.2,0.49,SEDANG (KUNING),28.4,426.0,2769.0
Kecamatan Karanganyar (Demak),7,Padi Sawah,250,0.45,22.3,31.8,0.537,SEDANG (KUNING),31.1,466.5,3032.25
Kecamatan Karanganyar (Demak),8,Padi Sawah,250,0.404,18.1,32.0,0.592,SEDANG (KUNING),34.3,514.5,3344.25
Kecamatan Karanganyar (Demak),9,Padi Sawah,250,0.395,21.8,32.2,0.58,SEDANG (KUNING),33.6,504.0,3276.0
Kecamatan Karanganyar (Demak),10,Padi Sawah,250,0.371,14.5,32.5,0.644,SEDANG (KUNING),37.4,561.0,3646.5
Kecamatan Karanganyar (Demak),11,Padi Sawah,250,0.348,3.5,33.0,0.732,TINGGI (MERAH),42.5,637.5,4143.75
Kecamatan Karanganyar (Demak),12,Padi Sawah,250,0.341,12.1,34.2,0.712,TINGGI (MERAH),41.3,619.5,4026.75
Kecamatan Gajah (Demak),1,Jagung,250,0.61,44.4,29.1,0.256,RENDAH (HIJAU),4.6,86.25,448.5
Kecamatan Gajah (Demak),2,Jagung,250,0.59,40.6,29.4,0.296,RENDAH (HIJAU),5.3,99.38,516.78
Kecamatan Gajah (Demak),3,Jagung,250,0.538,48.9,29.6,0.283,RENDAH (HIJAU),5.1,95.62,497.22
Kecamatan Gajah (Demak),4,Jagung,250,0.548,35.2,30.3,0.372,RENDAH (HIJAU),6.7,125.63,653.28
Kecamatan Gajah (Demak),5,Jagung,250,0.513,29.0,31.2,0.448,RENDAH (HIJAU),8.1,151.88,789.78
Kecamatan Gajah (Demak),6,Jagung,250,0.499,36.8,31.6,0.419,RENDAH (HIJAU),7.5,140.62,731.22
Kecamatan Gajah (Demak),7,Jagung,250,0.46,32.3,31.2,0.46,SEDANG (KUNING),26.7,500.62,2603.22
Kecamatan Gajah (Demak),8,Jagung,250,0.408,14.1,31.9,0.611,SEDANG (KUNING),35.4,663.75,3451.5
Kecamatan Gajah (Demak),9,Jagung,250,0.391,13.5,32.9,0.646,SEDANG (KUNING),37.5,703.12,3656.22
Kecamatan Gajah (Demak),10,Jagung,250,0.361,9.5,33.0,0.689,SEDANG (KUNING),40.0,750.0,3900.0
Kecamatan Gajah (Demak),11,Jagung,250,0.32,13.6,33.0,0.69,SEDANG (KUNING),40.0,750.0,3900.0
Kecamatan Gajah (Demak),12,Jagung,250,0.343,9.0,33.6,0.716,TINGGI (MERAH),41.5,778.12,4046.22
Kecamatan Kebumen (Kebumen),1,Padi Sawah,180,0.592,55.8,29.2,0.202,RENDAH (HIJAU),3.6,38.88,252.72
Kecamatan Kebumen (Kebumen),2,Padi Sawah,180,0.608,50.9,29.0,0.217,RENDAH (HIJAU),3.9,42.12,273.78
Kecamatan Kebumen (Kebumen),3,Padi Sawah,180,0.558,36.3,30.2,0.357,RENDAH (HIJAU),6.4,69.12,449.28
Kecamatan Kebumen (Kebumen),4,Padi Sawah,180,0.545,35.5,29.9,0.363,RENDAH (HIJAU),6.5,70.2,456.3
Kecamatan Kebumen (Kebumen),5,Padi Sawah,180,0.499,31.2,31.0,0.439,RENDAH (HIJAU),7.9,85.32,554.58
Kecamatan Kebumen (Kebumen),6,Padi Sawah,180,0.49,36.0,31.2,0.42,RENDAH (HIJAU),7.6,82.08,533.52
Kecamatan Kebumen (Kebumen),7,Padi Sawah,180,0.431,29.0,31.9,0.511,SEDANG (KUNING),29.6,319.68,2077.92
Kecamatan Kebumen (Kebumen),8,Padi Sawah,180,0.43,25.7,32.1,0.535,SEDANG (KUNING),31.0,334.8,2176.2
Kecamatan Kebumen (Kebumen),9,Padi Sawah,180,0.399,16.0,32.1,0.61,SEDANG (KUNING),35.4,382.32,2485.08
Kecamatan Kebumen (Kebumen),10,Padi Sawah,180,0.346,5.5,33.1,0.724,TINGGI (MERAH),42.0,453.6,2948.4
Kecamatan Kebumen (Kebumen),11,Padi Sawah,180,0.331,8.9,33.9,0.73,TINGGI (MERAH),42.3,456.84,2969.46
Kecamatan Kebumen (Kebumen),12,Padi Sawah,180,0.299,3.2,34.2,0.788,TINGGI (MERAH),45.7,493.56,3208.14
Kecamatan Prembun (Kebumen),1,Jagung,180,0.606,44.0,28.7,0.252,RENDAH (HIJAU),4.5,60.75,315.9
Kecamatan Prembun (Kebumen),2,Jagung,180,0.574,53.5,29.7,0.237,RENDAH (HIJAU),4.3,58.05,301.86
Kecamatan Prembun (Kebumen),3,Jagung,180,0.574,48.3,30.2,0.278,RENDAH (HIJAU),5.0,67.5,351.0
Kecamatan Prembun (Kebumen),4,Jagung,180,0.519,44.5,30.3,0.334,RENDAH (HIJAU),6.0,81.0,421.2
